block,v3_usdc_per_weth,v2_usdc_per_weth,spread_pct,direction
47146703,1616.5671,1620.9437,0.27074,V3->V2
47146704,1616.5671,1620.9437,0.27074,V3->V2
47146705,1616.5671,1620.9437,0.27074,V3->V2
47146706,1616.5671,1620.9437,0.27074,V3->V2
47146707,1616.5670,1620.9437,0.27074,V3->V2
47146708,1616.5670,1620.9437,0.27074,V3->V2
47146709,1616.5670,1620.9437,0.27074,V3->V2
47146710,1616.5670,1620.9437,0.27074,V3->V2
47146711,1616.5670,1620.9437,0.27074,V3->V2
47146712,1616.5670,1620.9437,0.27074,V3->V2
47146713,1616.5670,1620.9437,0.27074,V3->V2
47146714,1616.5670,1620.9437,0.27074,V3->V2
47146715,1616.5671,1620.9437,0.27074,V3->V2
47146716,1616.5671,1620.9437,0.27074,V3->V2
47146717,1616.5671,1620.9437,0.27074,V3->V2
47146718,1616.5671,1620.9437,0.27074,V3->V2
47146719,1616.5671,1621.0016,0.27432,V3->V2
47146720,1616.6608,1621.0016,0.26850,V3->V2
47146721,1616.6608,1621.0016,0.26850,V3->V2
47146722,1616.7486,1621.0016,0.26306,V3->V2
47146723,1616.7486,1621.0016,0.26306,V3->V2
47146724,1616.7486,1621.0016,0.26306,V3->V2
47146725,1616.7486,1621.0016,0.26306,V3->V2
47146726,1616.7486,1621.0016,0.26306,V3->V2
47146727,1616.8309,1621.0016,0.25795,V3->V2
47146728,1616.8625,1621.0016,0.25600,V3->V2
47146729,1616.8634,1621.0016,0.25594,V3->V2
47146730,1616.8634,1621.0016,0.25594,V3->V2
47146731,1616.8634,1621.0016,0.25594,V3->V2
47146732,1616.8634,1621.0016,0.25594,V3->V2
47146733,1616.8634,1621.0016,0.25594,V3->V2
47146734,1616.8634,1621.0016,0.25594,V3->V2
47146735,1616.8634,1621.0016,0.25594,V3->V2
47146736,1616.7950,1621.0016,0.26018,V3->V2
47146737,1616.4928,1621.0016,0.27893,V3->V2
47146738,1616.4926,1620.5374,0.25022,V3->V2
47146739,1616.4926,1620.5374,0.25022,V3->V2
47146740,1616.4926,1620.5374,0.25022,V3->V2
47146741,1616.4926,1620.5374,0.25022,V3->V2
47146742,1616.2348,1620.5374,0.26621,V3->V2
47146743,1616.2348,1620.5374,0.26621,V3->V2
47146744,1616.2348,1620.5374,0.26621,V3->V2
47146745,1616.2348,1620.5374,0.26621,V3->V2
47146746,1616.2348,1620.5374,0.26621,V3->V2
47146747,1616.2348,1620.2989,0.25146,V3->V2
47146748,1616.2348,1620.2989,0.25146,V3->V2
47146749,1615.6392,1620.2989,0.28841,V3->V2
47146750,1615.6391,1620.2989,0.28842,V3->V2
47146751,1615.6391,1620.2989,0.28842,V3->V2
47146752,1615.6391,1620.2989,0.28842,V3->V2
